application_number,examiner_id,au,app_filing_date,app_last_action_date,app_disposal_type,gender,race,examiner_earliest_date,processing_time,au_group,tenure,latest_action_date_x,latest_action_date_y,latest_action_date,degree,betweenness,closeness,degree_weighted_by_tenure,app_proc_time,num_applications
10103903,98163.0,179,2002-03-22,2009-07-20,ABN,male,Asian,2000-01-11,2677,179,5846,2017-05-23,2016-01-13,2016-01-13,,,,,5045,2
11492192,64180.0,179,2006-07-24,2010-07-28,ISS,female,black,2005-12-08,1465,179,1879,2017-05-19,2011-01-30,2011-01-30,,,,,1651,1
12991436,59632.0,162,2010-11-15,2011-06-29,ISS,female,white,2000-01-18,226,162,6203,2017-05-23,2017-01-11,2017-01-11,,,,,2249,3
09488833,93178.0,162,2000-01-21,2005-08-03,ISS,female,white,2000-01-03,2021,162,5485,2017-03-10,2015-01-09,2015-01-09,0.007042253521126761,0.0,0.14716658157902637,5455.0,5467,4
11545323,64905.0,179,2006-10-10,2009-07-22,ISS,female,white,2004-07-27,1016,179,1821,2017-05-23,2009-07-22,2009-07-22,,,,,1016,1
09700764,96388.0,162,2000-11-20,2006-05-17,ISS,male,white,2000-01-10,2004,162,5261,2016-11-10,2014-06-06,2014-06-06,,,,,4946,2
11661380,73692.0,179,2008-03-11,2010-03-24,ISS,male,white,2000-01-04,743,179,6084,2017-05-23,2016-08-31,2016-08-31,,,,,3095,1
11596884,71783.0,179,2006-11-17,2010-01-27,ISS,female,white,2000-02-08,1167,179,3641,2017-05-12,2010-01-27,2010-01-27,,,,,1167,1
10079537,97620.0,162,2002-02-22,2006-03-29,ISS,male,Asian,2000-01-24,1496,162,2256,2017-05-12,2006-03-29,2006-03-29,,,,,1496,1
10092660,64755.0,162,2002-03-07,2002-12-26,ISS,male,white,2000-01-04,294,162,3541,2015-03-13,2009-09-14,2009-09-14,,,,,2748,2
09709572,64755.0,162,2000-11-13,2009-09-14,ISS,male,white,2000-01-04,3227,162,3541,2015-03-13,2009-09-14,2009-09-14,,,,,3227,2
13918048,96069.0,162,2013-06-14,2014-10-08,ISS,male,white,2004-07-28,481,162,3724,2017-05-18,2014-10-08,2014-10-08,,,,,481,3
09777087,99721.0,162,2001-02-05,2002-03-21,ISS,female,white,2000-01-21,409,162,5964,2017-05-19,2016-05-20,2016-05-20,,,,,5583,5
11574624,68678.0,179,2007-03-02,2009-09-10,ABN,male,white,2002-12-11,923,179,5061,2017-05-23,2016-10-19,2016-10-19,0.007042253521126761,0.0,0.13146881287726359,5061.0,3519,2
11085622,62778.0,179,2005-03-22,2009-02-04,ISS,female,white,2000-01-06,1415,179,4288,2017-05-19,2011-10-03,2011-10-03,,,,,2386,1
13578443,73614.0,162,2012-10-15,2015-01-07,ISS,female,Hispanic,2005-01-11,814,162,3648,2017-05-19,2015-01-07,2015-01-07,,,,,814,2
15329043,94609.0,162,2017-01-25,2017-05-02,PEND,male,white,2006-11-21,97,162,3815,2017-05-20,2017-05-02,2017-05-02,,,,,97,4
15024622,62475.0,162,2016-03-24,2017-04-19,PEND,female,white,2005-06-28,391,162,4313,2017-05-20,2017-04-19,2017-04-19,,,,,391,2
12173030,74727.0,179,2008-07-15,2014-09-12,ISS,male,white,2000-01-11,2250,179,5895,2017-05-23,2016-03-02,2016-03-02,0.007042253521126761,0.0,0.09057890650992569,3542.0,2787,1
10871359,94161.0,179,2004-06-18,2008-02-28,ABN,female,white,2003-04-01,1350,179,4386,2017-05-12,2015-04-04,2015-04-04,0.035211267605633804,0.10567979119072912,0.18504323528301175,21930.0,3942,2
11105851,59771.0,179,2005-04-14,2010-05-26,ISS,male,white,2000-12-07,1868,179,5165,2017-05-19,2015-01-28,2015-01-28,0.04929577464788733,0.04175785423912484,0.1490737079061844,27797.0,3576,2
15349575,98771.0,162,2016-11-11,2017-04-24,PEND,male,white,2003-02-14,164,162,5208,2017-05-22,2017-05-19,2017-05-19,,,,,189,4
10498918,59987.0,179,2005-05-23,2017-03-03,ISS,male,Asian,2004-03-02,4302,179,4749,2017-05-23,2017-03-03,2017-03-03,0.007042253521126761,0.0,0.10651408450704225,4749.0,4302,1
10724881,64548.0,179,2003-12-02,2012-05-21,ISS,male,white,2000-01-07,3093,179,4616,2017-05-23,2012-08-27,2012-08-27,0.007042253521126761,0.0,0.14500236714404072,6043.0,3191,3
15055643,76320.0,179,2016-02-29,2016-07-25,PEND,female,white,2000-01-11,147,179,6040,2017-05-23,2016-07-25,2016-07-25,0.014084507042253521,0.009789231844970533,0.12151606824042847,9479.0,147,1
10702344,95160.0,179,2003-11-06,2012-10-01,ISS,male,white,2000-01-06,3252,179,6280,2017-05-23,2017-03-17,2017-03-17,0.014084507042253521,0.009789231844970533,0.12805403851681518,7928.0,4880,1
10982998,97745.0,179,2004-11-05,2009-08-11,ABN,female,white,2000-01-06,1740,179,5676,2017-05-20,2015-07-22,2015-07-22,0.007042253521126761,0.0,0.14654167040459315,4386.0,3911,1
13788768,65567.0,162,2013-03-07,2016-01-28,ISS,male,white,2000-01-03,1057,162,6283,2017-04-28,2017-03-17,2017-03-17,,,,,1471,4
11633823,60706.0,179,2006-12-05,2009-06-24,ISS,male,Asian,2001-08-31,932,179,3547,2017-05-17,2011-05-18,2011-05-18,0.014084507042253521,0.009789231844970533,0.09377870483772197,6659.0,1625,1
10198620,62499.0,179,2002-07-17,2012-08-13,ISS,male,white,2000-01-05,3680,179,5684,2017-05-23,2015-07-29,2015-07-29,0.02112676056338028,0.057570006326374316,0.15686619718309858,12020.0,4760,1
12623797,91423.0,179,2009-11-23,2015-06-30,ISS,male,white,2000-01-11,2045,179,5649,2017-05-23,2015-06-30,2015-06-30,,,,,2045,1
10674196,98991.0,162,2003-09-29,2015-06-12,ISS,male,white,2000-01-06,4274,162,5648,2017-05-16,2015-06-24,2015-06-24,,,,,4286,3
13242518,67500.0,162,2011-09-23,2013-07-10,ISS,male,Asian,2003-04-30,656,162,3724,2017-05-23,2013-07-10,2013-07-10,,,,,656,3
12963929,98822.0,162,2010-12-09,2012-07-06,ABN,male,white,2000-02-28,575,162,6205,2017-05-23,2017-02-23,2017-02-23,,,,,2268,4
10935396,64917.0,179,2004-09-08,2008-09-26,ABN,male,Asian,2003-10-28,1479,179,3655,2017-05-19,2013-10-30,2013-10-30,0.007042253521126761,0.0,0.1083534172065359,3655.0,3339,1
12028123,86928.0,179,2008-02-08,2009-12-14,ABN,female,white,2000-01-06,675,179,6341,2017-05-19,2017-05-17,2017-05-17,,,,,3386,1
09871195,63822.0,162,2001-05-31,2003-07-28,ABN,female,white,2000-01-06,788,162,5062,2017-05-22,2013-11-15,2013-11-15,0.007042253521126761,0.0,0.009389671361502348,2078.0,4551,3
09816574,76271.0,162,2001-03-23,2002-06-13,ISS,male,white,2000-01-05,447,162,3631,2017-04-21,2009-12-14,2009-12-14,,,,,3188,5
13501418,96069.0,162,2012-05-15,2014-07-16,ISS,male,white,2004-07-28,792,162,3724,2017-05-18,2014-10-08,2014-10-08,,,,,876,3
10554366,99125.0,162,2006-02-06,2009-08-03,ABN,male,black,2000-01-05,1274,162,5266,2017-05-19,2014-06-06,2014-06-06,,,,,3042,4
11927235,63225.0,162,2007-10-29,2013-10-02,ISS,male,white,2002-03-05,2165,162,4432,2017-05-19,2014-04-23,2014-04-23,,,,,2368,2
12874815,93313.0,162,2010-09-02,2013-06-19,ISS,male,white,2000-10-06,1021,162,4639,2017-05-19,2013-06-19,2013-06-19,,,,,1021,6
12601547,61790.0,162,2009-11-24,2013-03-21,ISS,male,white,2000-01-04,1213,162,5895,2017-05-23,2016-02-24,2016-02-24,,,,,2283,1
10712663,93178.0,162,2003-11-13,2011-03-14,ISS,female,white,2000-01-03,2678,162,5485,2017-03-10,2015-01-09,2015-01-09,0.007042253521126761,0.0,0.14716658157902637,5455.0,4075,4
13331635,60991.0,179,2011-12-20,2016-03-30,ISS,male,Asian,2003-04-15,1562,179,5146,2017-05-23,2017-05-17,2017-05-17,0.02112676056338028,0.05623813804814704,0.11222947440742012,15438.0,1975,2
14651066,94925.0,162,2015-06-10,2017-04-05,PEND,female,Hispanic,2003-06-10,665,162,5048,2017-05-23,2017-04-05,2017-04-05,0.007042253521126761,0.0,0.007042253521126761,5048.0,665,3
14229357,62284.0,179,2014-03-28,2015-09-02,ISS,male,white,2002-05-03,523,179,4870,2017-05-22,2015-09-02,2015-09-02,0.035211267605633804,0.009033396597076545,0.15236451823523925,19480.0,523,2
11463931,67366.0,162,2006-08-11,2009-07-20,ABN,male,white,2003-01-07,1074,162,3907,2017-05-19,2013-09-18,2013-09-18,,,,,2595,2
10700773,93754.0,179,2003-11-04,2010-02-14,ABN,male,Asian,2000-03-20,2294,179,3618,2017-05-23,2010-02-14,2010-02-14,,,,,2294,2
12970668,94677.0,162,2010-12-16,2013-05-10,ABN,male,white,2000-05-24,876,162,6180,2019-08-29,2017-04-25,2017-04-25,,,,,2322,3
13863140,62661.0,162,2013-04-15,2015-03-20,ABN,female,white,2000-03-10,704,162,6249,2017-05-23,2017-04-19,2017-04-19,,,,,1465,5
