application_number,advice_date,ego_examiner_id,alter_examiner_id
9852979,2008-07-29,90049.0,74333.0
9854356,2008-01-08,87897.0,69583.0
9854356,2008-01-08,87897.0,72882.0
9855584,2008-03-11,60094.0,74333.0
9857204,2008-04-09,72332.0,69402.0
9857204,2008-04-09,72332.0,96125.0
9857491,2008-01-30,87666.0,60579.0
9857491,2008-01-30,87666.0,74747.0
9857491,2008-01-30,87666.0,92569.0
9862410,2008-03-26,96764.0,67389.0
9862410,2008-03-26,96764.0,91853.0
9863318,2008-05-01,67570.0,94559.0
9864456,2008-09-15,99027.0,85786.0
9864608,2008-03-18,73119.0,91338.0
9864608,2008-03-18,73119.0,65885.0
9866259,2008-09-08,63007.0,74759.0
9866680,2008-10-02,65566.0,93567.0
9866680,2008-10-02,65566.0,62528.0
9867797,2008-05-28,73119.0,64243.0
9868151,2008-04-02,65586.0,81442.0
9868277,2008-04-30,65566.0,93567.0
9868277,2008-04-30,65566.0,62528.0
9868569,2008-04-30,75775.0,69583.0
9868569,2008-04-30,75775.0,83794.0
9868569,2008-04-30,75775.0,70306.0
9868819,2008-03-26,72573.0,68460.0
9868819,2008-10-02,72573.0,68460.0
9868819,2008-03-26,72573.0,79585.0
9870223,2008-11-12,73616.0,73936.0
9872502,2008-01-17,98854.0,60567.0
9872502,2008-01-17,98854.0,93904.0
9872502,2008-01-17,98854.0,94442.0
9872502,2008-01-17,98854.0,62033.0
9872502,2008-01-17,98854.0,94020.0
9872502,2008-05-14,98854.0,94020.0
9872502,2008-05-14,98854.0,93677.0
9872566,2008-01-07,65566.0,92464.0
9872566,2008-01-07,65566.0,70835.0
9872590,2008-01-28,88077.0,87028.0
9872647,2008-01-18,88077.0,87028.0
9873272,2008-07-29,96697.0,92464.0
9873272,2008-01-25,96697.0,95972.0
9873272,2008-01-25,96697.0,67389.0
9873272,2008-07-29,96697.0,67389.0
9873272,2008-01-25,96697.0,70835.0
9873272,2008-07-29,96697.0,76536.0
9874292,2008-07-22,92674.0,73191.0
9875403,2008-03-25,97974.0,94120.0
9875546,2008-07-02,94753.0,62384.0
9876090,2008-02-20,66685.0,83879.0
9876090,2008-02-20,66685.0,68783.0
9876090,2008-02-20,66685.0,85057.0
9876090,2008-02-20,66685.0,69090.0
9876111,2008-01-08,69524.0,62242.0
9877404,2008-08-28,61918.0,72535.0
9878536,2008-04-10,66805.0,66400.0
9879854,2008-07-28,67690.0,61180.0
9879854,2008-07-28,67690.0,71948.0
9879854,2008-07-28,67690.0,66206.0
9879854,2008-07-28,67690.0,71259.0
9879854,2008-07-28,67690.0,98700.0
9879854,2008-07-28,67690.0,93403.0
9879854,2008-07-28,67690.0,97808.0
9879854,2008-07-28,67690.0,78807.0
9879854,2008-07-28,67690.0,64315.0
9879854,2008-07-28,67690.0,68486.0
9879854,2008-07-28,67690.0,60377.0
9879854,2008-07-28,67690.0,65713.0
9879854,2008-07-28,67690.0,74230.0
9879854,2008-07-28,67690.0,87486.0
9880097,2008-09-09,93839.0,67669.0
9881024,2008-08-18,95339.0,75373.0
9881737,2008-05-30,91354.0,71487.0
9882485,2008-01-11,68425.0,62540.0
9882491,2008-09-04,59397.0,98108.0
9882491,2008-12-17,59397.0,98108.0
9882491,2008-12-17,59397.0,73191.0
9882702,2008-09-15,97703.0,94120.0
9882702,2008-09-15,97703.0,73703.0
9884131,2008-05-02,67509.0,65231.0
9885287,2008-10-28,96939.0,71059.0
9886296,2008-04-22,91688.0,71059.0
9886611,2008-10-03,94270.0,97655.0
9888110,2008-11-26,94270.0,99319.0
9888110,2008-11-26,94270.0,81337.0
9888110,2008-11-26,94270.0,66927.0
9888365,2008-07-31,94301.0,59975.0
9888365,2008-07-31,94301.0,62882.0
9888441,2008-04-14,75036.0,97402.0
9890799,2008-10-07,60715.0,71059.0
9891225,2008-01-14,67570.0,77583.0
9891379,2008-12-09,97974.0,94120.0
9891379,2008-12-09,97974.0,96456.0
9891380,2008-06-27,97974.0,94120.0
9891380,2008-10-14,97974.0,94120.0
9891380,2008-06-27,97974.0,73703.0
9891380,2008-10-14,97974.0,73703.0
9892296,2008-01-03,75973.0,76536.0
9892296,2008-12-30,75973.0,76536.0
9892490,2008-05-23,66805.0,92312.0
9892490,2008-05-23,66805.0,92028.0
9892490,2008-05-23,66805.0,66400.0
9892525,2008-07-10,60501.0,79585.0
9893431,2008-03-26,94230.0,66096.0
9893441,2008-02-13,94230.0,66096.0
9894035,2008-05-19,95938.0,98830.0
9896228,2008-06-17,65867.0,76536.0
9896390,2008-11-18,68425.0,62540.0
9896390,2008-11-18,68425.0,94120.0
9896390,2008-11-18,68425.0,94753.0
9896390,2008-11-18,68425.0,65231.0
